item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names
m2220586474,Canon EOS 50 camera met 3 objectieven,I.v.m. Aanschaf systeemcamera bied ik deze canon eos 50 aan. Lens die nu aan de body zit is een traploos uitschuifbaar van  32 mm ,https://images.marktplaats.com/api/v1/listing-mp-p/images/a8/a880f739-5223-4d93-a241-1ed607083fec?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220586474,52.349484437178,5.6161745272852,0.0,Ophalen,Vandaag,Ophalen,Yvon
m2220270485,Canon Prima Zoom 65 AiAf 38-65mm analoge 35mm fotocamera.,Hierbij aangeboden de canon prima zoom 65 aiaf 38-65mm compacte analoge 35mm point and shoot fotocamera in goede werkende staat. D,https://images.marktplaats.com/api/v1/listing-mp-p/images/a5/a56cb2ee-310c-4bef-863c-05149d0023f7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220270485,51.392627455331,4.3224974631702,50.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Danny
m2220568573,Canon AF35M Foto camera Auto Focus met Flitser,Canon af35m auto focus met flitser - werkt goed - echte vintage gewoonmarktplaats is al meer dan 16 jaar actief op markplaats. All,https://images.marktplaats.com/api/v1/listing-mp-p/images/11/11680537-7224-4206-960d-11472e266996?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220568573,52.188633351558,6.8792737171455,49.95,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,GewoonMarktplaats
m2220555705,Zenit 12xp Zenit B camera's,Zie foto's. Opruiming verzameling.,https://images.marktplaats.com/api/v1/listing-mp-p/images/a8/a8961735-9880-4984-b14f-8f555519aa91?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220555705,52.730251983275,6.8971892801248,0.0,Ophalen,Vandaag,Ophalen,Dirk
m2220269819,Zenit horizon 202 - panorama 35 mm + tas,Zenit horizon 202 - camera met roterende lens voor het maken van panorama foto's inclusief draagtas  in goede staat,https://images.marktplaats.com/api/v1/listing-mp-p/images/54/543715b5-8cb4-49df-8659-124b91f1c1af?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220269819,51.498352065981,4.299207037074,275.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Boeddha's Inboedel
m2220336911,Zenit B ( Зени́т B) met tas (Soviet M42 SRL) 1968–1977,"Mechanische russische camera body (uit de 60-70 er jaren) en vooral bekend als ""moeder camera"" van de beroemde helios-44",https://images.marktplaats.com/api/v1/listing-mp-p/images/d7/d75dd108-ffa3-4982-8f51-b66291b5f602?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220336911,50.971321178746,5.976863775125,13.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,willy
m2220498138,Pentax 6x7 met Takumar 105mm 2.4,Deze prachtige middenformaat camera met de meest gewilde lens is perfect voor portretten en werkt nog fantastisch.  Zowel de body ,https://images.marktplaats.com/api/v1/listing-mp-p/images/cd/cd1cd75a-8040-4839-9aa8-e962e93f1cea?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220498138,52.3705806799,4.8588591159447,1100.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,David
m2220435570,Nikkormat,Nr ft 4320469 hij doet het wel maar traag geen idee wat ermee is,https://images.marktplaats.com/api/v1/listing-mp-p/images/1a/1a0591fc-4927-4ed0-8ce0-da475469ccef?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220435570,52.255737337265,6.2216642451865,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,paula
m2220449292,Edixa Model D SLR Classic + toebehoren,Edixa reflex d-specificatie wirgin edixa reflex-d 35 mm spiegelreflexcamera sluiter 9 sec tot 1/1000 + b ingesteld met drie draaik,https://images.marktplaats.com/api/v1/listing-mp-p/images/5e/5e19b4d8-11f3-4abc-b0d2-ad92a25ce3f7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220449292,52.69508154011,5.1875039631288,450.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,daan
m2220610882,Asahi PENTAX K1000,"Asahi pentax k1000 35 mm film, single-lens reflex (slr) + pentax-m 50mm lens & rokinon 28 mm ik verkoop dit omdat ik hier alle",https://images.marktplaats.com/api/v1/listing-mp-p/images/1d/1dab9d97-06f5-4160-b795-63cf4b726598?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220610882,52.143973768693,6.1937105491458,150.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Luca
